language_id|language_code|language_name_english|language_name_french
250|kur|Kurdish|kurde
251|kut|Kutenai|kutenai
252|lad|Ladino|judéo-espagnol
253|lah|Lahnda|lahnda
254|lam|Lamba|lamba
255|lao|Lao|lao
256|lav|Latvian|letton
257|lez|Lezghian|lezghien
258|lim|Limburgan; Limburger; Limburgish|limbourgeois
259|lin|Lingala|lingala
260|lit|Lithuanian|lituanien
261|lol|Mongo|mongo
262|loz|Lozi|lozi
263|ltz|Luxembourgish; Letzeburgesch|luxembourgeois
264|lua|Luba-Lulua|luba-lulua
265|lub|Luba-Katanga|luba-katanga
266|lug|Ganda|ganda
267|lui|Luiseno|luiseno
268|lun|Lunda|lunda
269|luo|Luo (Kenya and Tanzania)|luo (Kenya et Tanzanie)
270|lus|Lushai|lushai
271|mac|Macedonian|macédonien
272|mad|Madurese|madourais
273|mag|Magahi|magahi
274|mah|Marshallese|marshall
275|mai|Maithili|maithili
276|mak|Makasar|makassar
277|mal|Malayalam|malayalam
278|man|Mandingo|mandingue
279|mao|Maori|maori
280|map|Austronesian languages|austronésiennes, langues
281|mar|Marathi|marathe
282|mas|Masai|massaï
283|may|Malay|malais
284|mdf|Moksha|moksa
285|mdr|Mandar|mandar
286|men|Mende|mendé
287|mga|Irish, Middle (900-1200)|irlandais moyen (900-1200)
288|mic|Mi'kmaq; Micmac|mi'kmaq; micmac
289|min|Minangkabau|minangkabau
290|mis|Uncoded languages|langues non codées
291|mkh|Mon-Khmer languages|môn-khmer, langues
292|mlg|Malagasy|malgache
293|mlt|Maltese|maltais
294|mnc|Manchu|mandchou
295|mni|Manipuri|manipuri
296|mno|Manobo languages|manobo, langues
297|moh|Mohawk|mohawk
298|mon|Mongolian|mongol
299|mos|Mossi|moré
300|mul|Multiple languages|multilingue
301|mun|Munda languages|mounda, langues
302|mus|Creek|muskogee
303|mwl|Mirandese|mirandais
304|mwr|Marwari|marvari
305|myn|Mayan languages|maya, langues
306|myv|Erzya|erza
307|nah|Nahuatl languages|nahuatl, langues
308|nai|North American Indian languages|nord-amérindiennes, langues
309|nap|Neapolitan|napolitain
310|nau|Nauru|nauruan
311|nav|Navajo; Navaho|navaho
312|nbl|Ndebele, South; South Ndebele|ndébélé du Sud
313|nde|Ndebele, North; North Ndebele|ndébélé du Nord
314|ndo|Ndonga|ndonga
315|nds|Low German; Low Saxon; German, Low; Saxon, Low|bas allemand; bas saxon; allemand, bas; saxon, bas
316|nep|Nepali|népalais
317|new|Nepal Bhasa; Newari|nepal bhasa; newari
318|nia|Nias|nias
319|nic|Niger-Kordofanian languages|nigéro-kordofaniennes, langues
320|niu|Niuean|niué
321|nno|Norwegian Nynorsk; Nynorsk, Norwegian|norvégien nynorsk; nynorsk, norvégien
322|nob|Bokmål, Norwegian; Norwegian Bokmål|norvégien bokmål
323|nog|Nogai|nogaï; nogay
324|non|Norse, Old|norrois, vieux
325|nor|Norwegian|norvégien
326|nqo|N'Ko|n'ko
327|nso|Pedi; Sepedi; Northern Sotho|pedi; sepedi; sotho du Nord
328|nub|Nubian languages|nubiennes, langues
329|nwc|Classical Newari; Old Newari; Classical Nepal Bhasa|newari classique
330|nya|Chichewa; Chewa; Nyanja|chichewa; chewa; nyanja
331|nym|Nyamwezi|nyamwezi
332|nyn|Nyankole|nyankolé
333|nyo|Nyoro|nyoro
334|nzi|Nzima|nzema
335|oci|Occitan (post 1500)|occitan (après 1500)
336|oji|Ojibwa|ojibwa
337|ori|Oriya|oriya
338|orm|Oromo|galla
339|osa|Osage|osage
340|oss|Ossetian; Ossetic|ossète
341|ota|Turkish, Ottoman (1500-1928)|turc ottoman (1500-1928)
342|oto|Otomian languages|otomi, langues
343|paa|Papuan languages|papoues, langues
344|pag|Pangasinan|pangasinan
345|pal|Pahlavi|pahlavi
346|pam|Pampanga; Kapampangan|pampangan
347|pan|Panjabi; Punjabi|pendjabi
348|pap|Papiamento|papiamento
349|pau|Palauan|palau
350|peo|Persian, Old (ca.600-400 B.C.)|perse, vieux (ca. 600-400 av. J.-C.)
351|per|Persian|persan
352|phi|Philippine languages|philippines, langues
353|phn|Phoenician|phénicien
354|pli|Pali|pali
355|pol|Polish|polonais
356|pon|Pohnpeian|pohnpei
357|pra|Prakrit languages|prâkrit, langues
358|pro|Provençal, Old (to 1500);Occitan, Old (to 1500)|provençal ancien (jusqu'à 1500); occitan ancien (jusqu'à 1500)
359|pus|Pushto; Pashto|pachto
360|que|Quechua|quechua
361|raj|Rajasthani|rajasthani
362|rap|Rapanui|rapanui
363|rar|Rarotongan; Cook Islands Maori|rarotonga; maori des îles Cook
364|roa|Romance languages|romanes, langues
365|roh|Romansh|romanche
366|rom|Romany|tsigane
367|rum|Romanian; Moldavian; Moldovan|roumain; moldave
368|run|Rundi|rundi
369|rup|Aromanian; Arumanian; Macedo-Romanian|aroumain; macédo-roumain
370|rus|Russian|russe
371|sad|Sandawe|sandawe
372|sag|Sango|sango
373|sah|Yakut|iakoute
374|sai|South American Indian languages|sud-amérindiennes, langues
375|sal|Salishan languages|salishennes, langues
376|sam|Samaritan Aramaic|samaritain
377|san|Sanskrit|sanskrit
378|sas|Sasak|sasak
379|sat|Santali|santal
380|scn|Sicilian|sicilien
381|sco|Scots|écossais
382|sel|Selkup|selkoupe
383|sem|Semitic languages|sémitiques, langues
384|sga|Irish, Old (to 900)|irlandais ancien (jusqu'à 900)
385|sgn|Sign Languages|langues des signes
386|shn|Shan|chan
387|sid|Sidamo|sidamo
388|sin|Sinhala; Sinhalese|singhalais
389|sio|Siouan languages|sioux, langues
390|sit|Sino-Tibetan languages|sino-tibétaines, langues
391|sla|Slavic languages|slaves, langues
392|slo|Slovak|slovaque
393|slv|Slovenian|slovène
394|sma|Southern Sami|sami du Sud
395|sme|Northern Sami|sami du Nord
396|smi|Sami languages|sames, langues
397|smj|Lule Sami|sami de Lule
398|smn|Inari Sami|sami d'Inari
399|smo|Samoan|samoan
400|sms|Skolt Sami|sami skolt
401|sna|Shona|shona
402|snd|Sindhi|sindhi
403|snk|Soninke|soninké
404|sog|Sogdian|sogdien
405|som|Somali|somali
406|son|Songhai languages|songhai, langues
407|sot|Sotho, Southern|sotho du Sud
408|srd|Sardinian|sarde
409|srn|Sranan Tongo|sranan tongo
410|srp|Serbian|serbe
411|srr|Serer|sérère
412|ssa|Nilo-Saharan languages|nilo-sahariennes, langues
413|ssw|Swati|swati
414|suk|Sukuma|sukuma
415|sun|Sundanese|soundanais
416|sus|Susu|soussou
417|sux|Sumerian|sumérien
418|swa|Swahili|swahili
419|swe|Swedish|suédois
420|syc|Classical Syriac|syriaque classique
421|syr|Syriac|syriaque
422|tah|Tahitian|tahitien
423|tai|Tai languages|tai, langues
424|tam|Tamil|tamoul
425|tat|Tatar|tatar
426|tel|Telugu|télougou
427|tem|Timne|temne
428|ter|Tereno|tereno
429|tet|Tetum|tetum
430|tgk|Tajik|tadjik
431|tgl|Tagalog|tagalog
432|tha|Thai|thaï
433|tib|Tibetan|tibétain
434|tig|Tigre|tigré
435|tir|Tigrinya|tigrigna
436|tiv|Tiv|tiv
437|tkl|Tokelau|tokelau
438|tlh|Klingon; tlhIngan-Hol|klingon
439|tli|Tlingit|tlingit
440|tmh|Tamashek|tamacheq
441|tog|Tonga (Nyasa)|tonga (Nyasa)
442|ton|Tonga (Tonga Islands)|tongan (Îles Tonga)
443|tpi|Tok Pisin|tok pisin
444|tsi|Tsimshian|tsimshian
445|tsn|Tswana|tswana
446|tso|Tsonga|tsonga
447|tuk|Turkmen|turkmène
448|tum|Tumbuka|tumbuka
449|tup|Tupi languages|tupi, langues
450|tur|Turkish|turc
451|tut|Altaic languages|altaïques, langues
452|tvl|Tuvalu|tuvalu
453|twi|Twi|twi
454|tyv|Tuvinian|touva
455|udm|Udmurt|oudmourte
456|uga|Ugaritic|ougaritique
457|uig|Uighur; Uyghur|ouïgour
458|ukr|Ukrainian|ukrainien
459|umb|Umbundu|umbundu
460|und|Undetermined|indéterminée
461|urd|Urdu|ourdou
462|uzb|Uzbek|ouszbek
463|vai|Vai|vaï
464|ven|Venda|venda
465|vie|Vietnamese|vietnamien
466|vol|Volapük|volapük
467|vot|Votic|vote
468|wak|Wakashan languages|wakashanes, langues
469|wal|Wolaitta; Wolaytta|wolaitta; wolaytta
470|war|Waray|waray
471|was|Washo|washo
472|wel|Welsh|gallois
473|wen|Sorbian languages|sorabes, langues
474|wln|Walloon|wallon
475|wol|Wolof|wolof
476|xal|Kalmyk; Oirat|kalmouk; oïrat
477|xho|Xhosa|xhosa
478|yao|Yao|yao
479|yap|Yapese|yapois
480|yid|Yiddish|yiddish
481|yor|Yoruba|yoruba
482|ypk|Yupik languages|yupik, langues
483|zap|Zapotec|zapotèque
484|zbl|Blissymbols; Blissymbolics; Bliss|symboles Bliss; Bliss
485|zen|Zenaga|zenaga
486|zha|Zhuang; Chuang|zhuang; chuang
487|znd|Zande languages|zandé, langues
488|zul|Zulu|zoulou
489|zun|Zuni|zuni
490|zxx|No linguistic content; Not applicable|pas de contenu linguistique; non applicable
491|zza|Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki|zaza; dimili; dimli; kirdki; kirmanjki; zazaki

